ParentCommit	ChildCommit	Comment
188f4243ba1db26eef943df79f66dd4a0d49ef54	188f4243ba1db26eef943df79f66dd4a0d49ef54	updated fluentvalidate to the latest version  
188f4243ba1db26eef943df79f66dd4a0d49ef54	8330d952235eebc9738361e5960d2994530388e7	updated ef to the latest version  6 1 0  
3e2c7a818a215c479a81c7ef112cf2a9fec20852	3e2c7a818a215c479a81c7ef112cf2a9fec20852	further changes on the new theme 
3e2c7a818a215c479a81c7ef112cf2a9fec20852	52dbb177a8d53f84532ff9e883bf97518522bae2	further changes on the new theme design 
3e2c7a818a215c479a81c7ef112cf2a9fec20852	fff77edcc792af05c3cd3c704e595cd61908f93a	further changes on the new theme 
3e2c7a818a215c479a81c7ef112cf2a9fec20852	6f06cdee8e0a4b04c32a484a27987e8e6a159688	further changes on the new default theme 
3e2c7a818a215c479a81c7ef112cf2a9fec20852	fe0b218ec5a9cb8a9f627106b7c52f5b5be301e0	further new theme changes 
3e2c7a818a215c479a81c7ef112cf2a9fec20852	fbf8941cb4dafa97601481f8d3f233d0f7438591	further changes in the new theme 
3e2c7a818a215c479a81c7ef112cf2a9fec20852	37d36bc83e63f969632caf44aa409df7de5f0141	further changes on the new theme 
3e2c7a818a215c479a81c7ef112cf2a9fec20852	5cb09a74ee9728fa1e8dbdf787d7dab22fa4b6be	further changes on rtl version of the new theme 
3e2c7a818a215c479a81c7ef112cf2a9fec20852	2c9375b43dfa27824f54d2f36cbbd1b5d97c4410	further changes on the new theme 
3e2c7a818a215c479a81c7ef112cf2a9fec20852	e8689e56c2105632210ebdbadfbb63e7de621da5	further changes on the new theme 
3e2c7a818a215c479a81c7ef112cf2a9fec20852	08416074c8b74d507bf6a9f91e5e0dd3e54e43f3	further changes on the new theme 
3e2c7a818a215c479a81c7ef112cf2a9fec20852	af2abadd6e15363e8ebfb02b8db97f9bc7603a79	further changes on the new theme    hg   branch   new default theme 
f02130d84d3ebde517e3de7ef582773170dd0834	f02130d84d3ebde517e3de7ef582773170dd0834	updated some settings for the new theme  
f02130d84d3ebde517e3de7ef582773170dd0834	7ec0ad46343866750890f8d81e39838fe5152b7a	updated some default settings for the new theme 
e10039263f8f230778c46cab10f157b3fc95195a	e10039263f8f230778c46cab10f157b3fc95195a	updated geolite library to the latest version  
e10039263f8f230778c46cab10f157b3fc95195a	eed17157e879bf5415b08af8b9823ac4d647bacb	updated fluentvalidation library to the latest version 
e10039263f8f230778c46cab10f157b3fc95195a	c518ac2fc27f782e9ad366d40646073d9356847c	updated maxmind library to the latest version  
e10039263f8f230778c46cab10f157b3fc95195a	36ca007a8b8bfd458b6cf35e56edd6d7c7028cf7	updated json library to the latest version 
e10039263f8f230778c46cab10f157b3fc95195a	a248d2ee079df95d98b0111cdd6b0bdc0d485246	updated geolite database to the latest version 
e10039263f8f230778c46cab10f157b3fc95195a	ec8334a6aaaef6321af600a49dd739d50eb4ad42	updated miniprofiler library to the latest version 
e10039263f8f230778c46cab10f157b3fc95195a	f22af095884f8a23333535ac86d2757f2a754e15	updated fluentvalidation library to the latest version 
e10039263f8f230778c46cab10f157b3fc95195a	e88d8b0864740b6c9e90d11ad69a186680a043cf	updated autofac library to the latest version 
e10039263f8f230778c46cab10f157b3fc95195a	8330d952235eebc9738361e5960d2994530388e7	updated ef to the latest version  6 1 0  
e10039263f8f230778c46cab10f157b3fc95195a	c9ae75cae6a14d1a345d733b95050cec11450192	updated  fluentvalidation library to the latest version  5 1 0 0  
e10039263f8f230778c46cab10f157b3fc95195a	5a22ada5cf7beea87ad40fc1f27e12310d6129f1	updated dotnetopenauth library to the latest version 
e10039263f8f230778c46cab10f157b3fc95195a	78b937fe38960eac82eb15bef5b1594ed11640c1	updated fluentvalidation library to the latest version 
e10039263f8f230778c46cab10f157b3fc95195a	1d7d7503bfa098ee7d85c0967f23e22d81c7de76	updated nunit library to the latest version 
e10039263f8f230778c46cab10f157b3fc95195a	e8c946e8bb95f687f974a2e73145875880fd6045	updated routedebugger library to the latest version 
e10039263f8f230778c46cab10f157b3fc95195a	79f5510a7bf6390725aac50d0fdd4546742fd15c	updated 51degrees library to the latest version 
e10039263f8f230778c46cab10f157b3fc95195a	0552d60de8ad573beb5b4bad85a8c8562307a06f	updated epplus library to the latest version 
560bb93aa4809b1ccea9f3985c05ecf824a6b9d2	560bb93aa4809b1ccea9f3985c05ecf824a6b9d2	minor refactoring of source code 
560bb93aa4809b1ccea9f3985c05ecf824a6b9d2	94bddb25dc115ec3ac59bb9f75109e71738ac46a	source code refactoring 
560bb93aa4809b1ccea9f3985c05ecf824a6b9d2	d2d5279a94776f72e4c6b6e4dda9c4e20e9b75a4	source code refactoring 
560bb93aa4809b1ccea9f3985c05ecf824a6b9d2	a9464e8cac159ff4dae15cb3e865dd0be59b6f7a	source code refactoring 
560bb93aa4809b1ccea9f3985c05ecf824a6b9d2	62ab9735647fbdd82d75fbd2ecaf9e4675c4ad7a	source code refactoring 
560bb93aa4809b1ccea9f3985c05ecf824a6b9d2	cdfa83777ab2b97992308e9f1c282696c1a2960c	minor refactoring of source code 
560bb93aa4809b1ccea9f3985c05ecf824a6b9d2	790c2f3694b14ec9e874bd08ff84fcd4bf047871	source code refactoring  resharper   minor refactoring 
560bb93aa4809b1ccea9f3985c05ecf824a6b9d2	3860dff18754851de62e39eb0431dba891663f85	minor refactoring of source code  
560bb93aa4809b1ccea9f3985c05ecf824a6b9d2	dbb4b076310bdbb5e50bbfa78b3cef7157de5a94	minor refactoring of source code  
560bb93aa4809b1ccea9f3985c05ecf824a6b9d2	fd34c4a580b19953bcae19638296d45e0910e8d8	source code refactoring 
560bb93aa4809b1ccea9f3985c05ecf824a6b9d2	d43223c45d47b32dae276ad191ce3ed88aa0643a	minor refactoring of source code  
560bb93aa4809b1ccea9f3985c05ecf824a6b9d2	8793d89047391fc134a4c93fb1282936e6ce791c	source code refactoring 
560bb93aa4809b1ccea9f3985c05ecf824a6b9d2	af895742b4fe3f655f0c1f3f6c79b3f695c29451	source code refactoring 
560bb93aa4809b1ccea9f3985c05ecf824a6b9d2	9d633c065deaef38861b42c2a7da3c606131c5cb	source code refactoring 
560bb93aa4809b1ccea9f3985c05ecf824a6b9d2	92ea16afd94746f6933e74f3eb395d2334fcbf3f	source code refactoring 
560bb93aa4809b1ccea9f3985c05ecf824a6b9d2	06c814bc8a70734836b16b3ed7fdf436cb28d77c	source code refactoring 
560bb93aa4809b1ccea9f3985c05ecf824a6b9d2	16ef1dbd6e2946dfb732a3c2e8720b48bd13b5c4	source code refactoring 
560bb93aa4809b1ccea9f3985c05ecf824a6b9d2	82d8cb43f37efdb1abd6edbbac3c120b48c912f0	source code refactoring 
560bb93aa4809b1ccea9f3985c05ecf824a6b9d2	c59890830e11a3a222c2a510f0e8c35081921cfc	source code refactoring 
560bb93aa4809b1ccea9f3985c05ecf824a6b9d2	896513a94699dae64a29aaffdd888167e6405ca4	minor refactoring of source code 
560bb93aa4809b1ccea9f3985c05ecf824a6b9d2	9192de322e5cfabb0356e2bc8b91a0d58eabac92	source code minor refactoring 
560bb93aa4809b1ccea9f3985c05ecf824a6b9d2	f32c9ebdfa9a904996ad8cfe64eed81c4989ecfc	minor refactoring of source code 
560bb93aa4809b1ccea9f3985c05ecf824a6b9d2	c30728824e7500afd0517cd775f3d5509ba13d83	minor refactoring of source code 
560bb93aa4809b1ccea9f3985c05ecf824a6b9d2	f2da092ed31d28e67cc46be3f0161ab0647fbf4b	source code refactoring 
560bb93aa4809b1ccea9f3985c05ecf824a6b9d2	60c0610a2529447cf2175206412818afcd103711	minor source code refactoring 
