FileName                                          	  |  Support| Confidence
_AddressAttributes.cshtml                         	  |  2      | 1.17      
_AddToCart.cshtml                                 	  |  1      | 0.58      
_AdminLayout.cshtml                               	  |  1      | 0.58      
_BackInStockSubscription.cshtml                   	  |  1      | 0.58      
_BackInStockSubscription.Mobile.cshtml            	  |  1      | 0.58      
_CheckoutAttributes.cshtml                        	  |  4      | 2.34      
_CheckUsernameAvailability.cshtml                 	  |  1      | 0.58      
_CreateOrUpdate.Acl.cshtml                        	  |  1      | 0.58      
_CreateOrUpdate.AssociatedProducts.cshtml         	  |  1      | 0.58      
_CreateOrUpdate.Categories.cshtml                 	  |  1      | 0.58      
_CreateOrUpdate.CrossSells.cshtml                 	  |  1      | 0.58      
_CreateOrUpdate.cshtml                            	  |  55     | 32.16     
_CreateOrUpdate.Info.cshtml                       	  |  10     | 5.85      
_CreateOrUpdate.Manufacturers.cshtml              	  |  1      | 0.58      
_CreateOrUpdate.Pictures.cshtml                   	  |  3      | 1.75      
_CreateOrUpdate.ProductAttributes.cshtml          	  |  5      | 2.92      
_CreateOrUpdate.PurchasedWithOrders.cshtml        	  |  1      | 0.58      
_CreateOrUpdate.RelatedProducts.cshtml            	  |  1      | 0.58      
_CreateOrUpdate.SpecificationAttributes.cshtml    	  |  2      | 1.17      
_CreateOrUpdate.Stores.cshtml                     	  |  1      | 0.58      
_CreateOrUpdate.TierPrices.cshtml                 	  |  1      | 0.58      
_CreateOrUpdateAddress.cshtml                     	  |  4      | 2.34      
_CreateOrUpdatePlugin.cshtml                      	  |  1      | 0.58      
_CreateOrUpdatePredefinedProductAttributeValue.cshtml |  1      | 0.58      
_CreateOrUpdateProductAttributeValue.cshtml       |  1      | 0.58      
_CreateOrUpdateValue.cshtml                       |  1      | 0.58      
_CreateOrUpdateWarehouse.cshtml                   |  1      | 0.58      
_CustomerAttributes.cshtml                        |  4      | 2.34      
_ExternalAuthentication.AssociateMessage.cshtml   |  2      | 1.17      
_OrderDetails.Billing.cshtml                      |  1      | 0.58      
_OrderDetails.Info.cshtml                         |  3      | 1.75      
_OrderDetails.Notes.cshtml                        |  2      | 1.17      
_OrderDetails.Products.cshtml                     |  2      | 1.17      
_OrderDetails.Shipping.cshtml                     |  5      | 2.92      
_OrderReviewData.cshtml                           |  3      | 1.75      
_OrderReviewData.Mobile.cshtml                    |  1      | 0.58      
_ProductAddAttributes.cshtml                      |  3      | 1.75      
_ProductAddRentalInfo.cshtml                      |  1      | 0.58      
_ProductAttributes.cshtml                         |  8      | 4.68      
_ProductBox.cshtml                                |  2      | 1.17      
_ProductDetailsPictures.cshtml                    |  1      | 0.58      
_ProductPrice.cshtml                              |  4      | 2.34      
_ProductSpecifications.cshtml                     |  1      | 0.58      
_PublicRootLayout.cshtml                          |  1      | 0.58      
_references.js                                    |  3      | 1.75      
_RentalInfo.cshtml                                |  1      | 0.58      
_ReportBestCustomersByNumberOfOrders.cshtml       |  2      | 1.17      
_ReportBestCustomersByOrderTotal.cshtml           |  2      | 1.17      
_Root.cshtml                                      |  1      | 0.58      
_SKU_Man_Stock.cshtml                             |  1      | 0.58      
_ViewStart.cshtml                                 |  3      | 1.75      
AclDisabledWarning.cshtml                         |  1      | 0.58      
AclService.cs                                     |  1      | 0.58      
ActiveDiscussions.cshtml                          |  1      | 0.58      
AddAttributeCombinationPopup.cshtml               |  3      | 1.75      
AddPopup.cshtml                                   |  1      | 0.58      
AddProductAttributeCombinationModel.cs            |  1      | 0.58      
AddProductToOrder.cshtml                          |  1      | 0.58      
AddProductToOrderDetails.cshtml                   |  3      | 1.75      
AddProductVariantAttributeCombinationModel.cs     |  1      | 0.58      
Address.cs                                        |  1      | 0.58      
Address.cshtml                                    |  2      | 1.17      
AddressAdd.cshtml                                 |  1      | 0.58      
AddressAttribute.cs                               |  1      | 0.58      
AddressAttributeController.cs                     |  1      | 0.58      
AddressAttributeExtensions.cs                     |  1      | 0.58      
AddressAttributeFormatter.cs                      |  1      | 0.58      
AddressAttributeMap.cs                            |  1      | 0.58      
AddressAttributeModel.cs                          |  2      | 1.17      
AddressAttributeParser.cs                         |  1      | 0.58      
AddressAttributePersistenceTests.cs               |  1      | 0.58      
AddressAttributeService.cs                        |  1      | 0.58      
AddressAttributeValidator.cs                      |  1      | 0.58      
AddressAttributeValue.cs                          |  1      | 0.58      
AddressAttributeValueMap.cs                       |  1      | 0.58      
AddressAttributeValueModel.cs                     |  1      | 0.58      
AddressAttributeValuePersistenceTests.cs          |  1      | 0.58      
AddressAttributeValueValidator.cs                 |  1      | 0.58      
AddressCreate.cshtml                              |  1      | 0.58      
AddressEdit.cshtml                                |  3      | 1.75      
Addresses.cshtml                                  |  1      | 0.58      
AddressExtensions.cs                              |  1      | 0.58      
AddressModel.cs                                   |  2      | 1.17      
AddressPeristenceTests.cs                         |  1      | 0.58      
AddressService.cs                                 |  1      | 0.58      
AddShipment.cshtml                                |  8      | 4.68      
admin.common.js                                   |  1      | 0.58      
AdminAntiForgeryAttribute.cs                      |  1      | 0.58      
AdminAreaRegistration.cs                          |  1      | 0.58      
AdminAuthorizeAttribute.cs                        |  1      | 0.58      
AdminHeaderLinks.cshtml                           |  1      | 0.58      
Affiliate.cs                                      |  2      | 1.17      
AffiliateController.cs                            |  5      | 2.92      
AffiliatedOrderList.cshtml                        |  1      | 0.58      
AffiliatedOrderListModel.cs                       |  1      | 0.58      
AffiliateExtensions.cs                            |  1      | 0.58      
AffiliateListModel.cs                             |  2      | 1.17      
AffiliateModel.cs                                 |  2      | 1.17      
AffiliatePersistenceTests.cs                      |  1      | 0.58      
AffiliateService.cs                               |  3      | 1.75      
AllSettings.cshtml                                |  1      | 0.58      
AssociatedProductAddPopup.cshtml                  |  1      | 0.58      
AssociateProductToAttributeValuePopup.cshtml      |  2      | 1.17      
AssociateProductToCustomerRolePopup.cshtml        |  1      | 0.58      
AttributeControlType.cs                           |  1      | 0.58      
AutoMapperStartupTask.cs                          |  32     | 18.71     
BackwardCompatibility2XController.cs              |  1      | 0.58      
BackwardCompatibility2XRouteProvider.cs           |  1      | 0.58      
BaseAdminController.cs                            |  1      | 0.58      
BestsellersBriefReportByAmount.cshtml             |  1      | 0.58      
BestsellersBriefReportByQuantity.cshtml           |  1      | 0.58      
BestsellersReport.cshtml                          |  1      | 0.58      
BillingAddress.cshtml                             |  2      | 1.17      
BillingAddress.Mobile.cshtml                      |  1      | 0.58      
Blog.cshtml                                       |  1      | 0.58      
BlogController.cs                                 |  1      | 0.58      
BlogPost.cs                                       |  1      | 0.58      
BlogPostModel.cs                                  |  2      | 1.17      
BlogPostPersistenceTests.cs                       |  1      | 0.58      
BlogPostValidator.cs                              |  1      | 0.58      
BlogService.cs                                    |  1      | 0.58      
BulkEdit.cshtml                                   |  1      | 0.58      
ByWeightShippingComputationMethod.cs              |  1      | 0.58      
Campaign.cs                                       |  1      | 0.58      
CampaignController.cs                             |  3      | 1.75      
CampaignModel.cs                                  |  1      | 0.58      
CampaignService.cs                                |  2      | 1.17      
CanadaPostComputationMethod.cs                    |  1      | 0.58      
CanadaPostShipmentTracker.cs                      |  1      | 0.58      
Catalog.cshtml                                    |  9      | 5.26      
CatalogController.cs                              |  12     | 7.02      
CatalogPagingFilteringModel.cs                    |  1      | 0.58      
CatalogSettings.cs                                |  7      | 4.09      
CatalogSettingsModel.cs                           |  7      | 4.09      
Categories.cshtml                                 |  1      | 0.58      
Category.cs                                       |  1      | 0.58      
Category.cshtml                                   |  2      | 1.17      
CategoryAddPopup.cshtml                           |  1      | 0.58      
CategoryController.cs                             |  4      | 2.34      
CategoryModel.cs                                  |  2      | 1.17      
CategoryPersistenceTests.cs                       |  1      | 0.58      
CategoryService.cs                                |  1      | 0.58      
CategoryTemplate.ProductsInGridOrLines.cshtml     |  2      | 1.17      
CategoryTemplates.cshtml                          |  1      | 0.58      
CategoryTemplateService.cs                        |  1      | 0.58      
CategoryValidator.cs                              |  1      | 0.58      
CheckAffiliateAttribute.cs                        |  1      | 0.58      
CheckoutAttribute.cs                              |  1      | 0.58      
CheckoutAttributeMap.cs                           |  1      | 0.58      
CheckoutAttributeModel.cs                         |  1      | 0.58      
CheckoutAttributePersistenceTests.cs              |  1      | 0.58      
CheckoutController.cs                             |  6      | 3.51      
CheckoutShippingAddressModel.cs                   |  2      | 1.17      
CheckoutShippingMethodModel.cs                    |  1      | 0.58      
CodeFirstInstallationService.cs                   |  36     | 21.05     
Comments.cshtml                                   |  2      | 1.17      
CommonController.cs                               |  10     | 5.85      
CommonSettings.cs                                 |  1      | 0.58      
CompareProducts.cshtml                            |  1      | 0.58      
Configure.cshtml                                  |  26     | 15.20     
ContactUs.cshtml                                  |  1      | 0.58      
ContactUsModel.cs                                 |  1      | 0.58      
ContactUsValidator.cs                             |  1      | 0.58      
ContactUsValidatorTests.cs                        |  1      | 0.58      
ContactVendor.cshtml                              |  2      | 1.17      
ContactVendorModel.cs                             |  2      | 1.17      
ContactVendorValidator.cs                         |  2      | 1.17      
ContactVendorValidatorTests.cs                    |  2      | 1.17      
ContainerManager.cs                               |  1      | 0.58      
ControllerExtensions.cs                           |  3      | 1.75      
CopyProductService.cs                             |  11     | 6.43      
CountryController.cs                              |  3      | 1.75      
CountryReport.cshtml                              |  2      | 1.17      
CountryReportLineModel.cs                         |  1      | 0.58      
CountryReportModel.cs                             |  1      | 0.58      
CountryService.cs                                 |  2      | 1.17      
Create.cshtml                                     |  27     | 15.79     
CreateDeliveryDate.cshtml                         |  1      | 0.58      
CreateForum.cshtml                                |  1      | 0.58      
